ASIN,Nom,Prix Actuel,Prix Initial,Évaluation moyenne,total_ratings,Catégorie produit,Couleur,Marque,Système d'exploitation,Taille de l'écran,Capacité de stockage de la mémoire,Vitesse du processeur,Mémoire maximale,Taille du disque dur,5_star_percentage,4_star_percentage,3_star_percentage,2_star_percentage,1_star_percentage
B0CS3WDXRV,"MSI MAG 256F Écran Gaming 24,5 Pouces FHD - Dalle Rapid IPS 1920 x 1080, 180 Hz / 1ms GtG, gamut sRGB 127%, Design sans Cadre, HDR Ready - DisplayPort 1.2a,HDMI™ CEC",149.99,149.99,4.4,2.0,Ecran,Noir,MSI,,25 Pouces,,,,,76.0,11.0,4.0,2.0,8.0
B0CS3W1DMF,"MSI MAG 27C6F écran Gaming incurvé FHD de 27"" - Dalle Rapid VA 1920 x 1080 1500R, 180 Hz / 0,5ms (GtG, Min.), Adaptive-Sync - DP 1.2a, HDMI CEC",175.0,179.99,4.4,2.0,Ecran,Gris,MSI,,27 Pouces,,,,,76.0,11.0,4.0,2.0,8.0
B0BYJ79PHH,"Yodoit Écran Portable 15,6"" 1920 × 1080 FHD Moniteur IPS 100% SRGB Display HDMI USB Type C avec Haut-parleurs Intégrés pour PC/MacBook/Xbox/PS4 5/TV",80.74,94.99,4.7,2.0,Ecran,Noir,DOOGEE,,"15,6 Pouces",,,,,85.0,8.0,2.0,1.0,4.0
B0BY8XQQGS,"Lenovo D24-40 - Écran 24 Full HD (VA, 75Hz, 4ms, HDMI+VGA, AMD FreeSync) Réglage en Inclinaison – Noir",129.99,129.99,4.3,384.0,Ecran,Noir,LENOVO,,"23,8 Pouces",,,,,65.0,16.0,6.0,5.0,8.0
B0CXY3JRQN,"AOC Gaming 27G15N, Moniteur Full HD 27 Pouces, 180 Hz, VA Rapide, 1 ms, synchronisation adaptative, HDR10, Faible décalage d'entrée (1920 x 1080, HDMI 2.0, DisplayPort 1.4)",179.99,179.99,4.4,323.0,Ecran,Noir,AOC,,‎27 Pouces,,,,,71.0,12.0,8.0,2.0,7.0
B0CS3SS1Q3,"MSI Pro MP252 écran bureautique Full HD 24,5"" - Dalle IPS 1920 x 1080, 100 Hz, écran respectueux des Yeux, Haut-parleurs intégrés, réglable en Inclinaison - HDMI 2.0b, DisplayPort 1.4a",99.99,99.99,4.4,1.0,Ecran,Noir,MSI,,‎25 Pouces,,,,,72.0,11.0,6.0,3.0,7.0
B0CGQ4LXBV,"MSI G2422C Écran gaming incurvé FHD de 23,6 pouces - dalle VA 1500R 1920 x 1080, 180 Hz / 1 ms, Adaptive Sync - DP 1.2a, HDMI 2.0b CEC",149.99,149.99,4.5,219.0,Ecran,Noir,MSI,,"23,6 Pouces",,,,,80.0,7.0,3.0,4.0,6.0
B0D12TSP52,"Minifire Écran PC Gaming 22 Pouces FHD (1920 x 1080), IPS, 75Hz, 5ms, 110% sRGB, Mode Faible lumière Bleue, Angle de Vision de 178°, Design de Mode Ultra Edge, Adaptive-Sync, VGA et HDMI -MF22F2",81.99,91.99,4.3,785.0,Ecran,Noir,NIPOGI,,22 Pouces,,,,,63.0,21.0,5.0,3.0,8.0
B0DBQ1CTL2,"Minifire Gaming Monitor 24 Pouces, 180 Hz, 1ms, Full HD(1920 x 1080) écran sans Cadre, Adpitive Sync, HDMI 1.4 & DP 1.2, 300Nits, sRGB 110%, Ultra-Thin Bezel, Adjustable Tilt - Noir MFG24F4L",104.99,104.99,4.3,785.0,Ecran,Noir,NIPOGI,,24 Pouces,,,,,63.0,21.0,5.0,3.0,8.0
B0CZ3L35FV,"LG Ultragear™ 27GS60QC-B.AEU Ecran PC Gaming 27"" - Dalle VA résolution QHD (2560x1440), 1ms 180Hz, HDR 10, sRGB99% (CIE1931), AMD FreeSync, inclinable, réglable en Hauteur",179.8,179.8,4.5,386.0,Ecran,Noir,LG,,27 Pouces,,,,,72.0,15.0,5.0,3.0,5.0
B0C23M7Y9V,"KOORUI 24'' Ecran PC Gaming Incurvé, 180Hz Moniteur PC Dalle VA, Résolution FHD (1080P) Lunette Ultra-Mince, Inclinaison réglable, Prend en Charge HDMI2.0/DP1.2",129.99,169.99,4.3,5.0,Ecran,Noir,RUSHAR,,24,,,,,68.0,17.0,5.0,2.0,8.0
